region,district,year,month,anomaly_label,anomaly_score,is_anomaly
Ahafo,Asutifi North,2006,11,1,0.4073481256467353,0
Ahafo,Goaso,2006,11,1,0.4006895257229464,0
Ahafo,Asutifi North,2006,12,1,0.45302941398921104,0
Ahafo,Goaso,2006,12,1,0.4412618901444647,0
Ahafo,Asutifi North,2007,1,1,0.47167857014576536,0
Ahafo,Goaso,2007,1,1,0.47374525230659,0
Ahafo,Asutifi North,2007,2,1,0.4603967459243649,0
Ahafo,Goaso,2007,2,1,0.4538080549894423,0
Ahafo,Asutifi North,2007,3,1,0.48019014990474623,0
Ahafo,Goaso,2007,3,1,0.458527993905348,0
Ahafo,Asutifi North,2007,4,1,0.4267785988611632,0
Ahafo,Goaso,2007,4,1,0.40764627175539225,0
Ahafo,Asutifi North,2007,5,1,0.4253342560205772,0
Ahafo,Goaso,2007,5,1,0.4154574982782839,0
Ahafo,Asutifi North,2007,6,1,0.41233329443835287,0
Ahafo,Goaso,2007,6,1,0.40674657465081937,0
Ahafo,Asutifi North,2007,7,1,0.40654626388119064,0
Ahafo,Goaso,2007,7,1,0.40981429795467966,0
Ahafo,Asutifi North,2007,8,1,0.4056151310951601,0
Ahafo,Goaso,2007,8,1,0.4128324999336677,0
Ahafo,Asutifi North,2007,9,1,0.4021110414044923,0
Ahafo,Goaso,2007,9,1,0.412148141933605,0
Ahafo,Asutifi North,2007,10,1,0.40367047774135034,0
Ahafo,Goaso,2007,10,1,0.41425697808824963,0
Ahafo,Asutifi North,2007,11,1,0.4088135169700547,0
Ahafo,Goaso,2007,11,1,0.4185814832659475,0
Ahafo,Asutifi North,2007,12,1,0.41939918360798323,0
Ahafo,Goaso,2007,12,1,0.41972216070006313,0
Ahafo,Asutifi North,2008,1,1,0.49174510875465,0
Ahafo,Goaso,2008,1,1,0.481144929232507,0
Ahafo,Asutifi North,2008,2,1,0.4791129780519881,0
Ahafo,Goaso,2008,2,1,0.45807883059909293,0
Ahafo,Asutifi North,2008,3,1,0.46863447650965867,0
Ahafo,Goaso,2008,3,1,0.4652075719027829,0
Ahafo,Asutifi North,2008,4,1,0.42257219187821504,0
Ahafo,Goaso,2008,4,1,0.41267405222007436,0
Ahafo,Asutifi North,2008,5,1,0.4153222185619278,0
